Product Name,Brand,Calories (kcal),Proteins (g),Fat (g),Sugar (g),Salt (g),Carbohydrates (g),Code,Ingredients Text,Serving Suggestions
N/A,N/A,,,,,,,6111243570138,N/A,N/A
Propercorn Sweet & Salty,Proper,465.0,7.6,20.4,11.3,0.66,56.5,5060283760669,"Wholegrain corn (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt.",N/A
Gocciole classiche pav 500 gr,Pavesi,488.0,6.5,22.0,22.0,0.53,64.0,8013355999143,"Farine de BLÉ, sucre, chocolat 14,6%* (sucre, pâte de cacao, beurre de cacao, cacao maigre, émulsifiant : lécithine de SOJA), huile de tournesol, BEURRE, sirop de glucose, amidon de BLÉ, poudres à lever (carbonate acide de sodium, carbonate acide d'ammonium), sel, arôme vanilline. *% exprimé sur le produit fini. Peut contenir des traces de FRUITS À COQUE, MOUTARDE, SÉSAME et OEUFS.",N/A
Protein Caramel salé Cacahuètes,Nature Valley,505.0,26.0,30.5,14.5,1.05,25.0,8410076610744,"_cacahuètes_ grillées (38%), extrait de racine de chicorée, protéine isolée de _soja_, _amandes_ 9%, sirop de glucose, matière grasse végétale: palme; lactosérum (_lait_), fructose, maltodextrine, huile de tournesol, amidon de tapioca, humectant: glycérol; sel, caramel en poudre (sucre, _lait_ écrémé en poudre), _lait_ écrémé en poudre, émulsifiants: lécithines de tournesol et de _soja_; arômes naturels",N/A
85% Cocoa - Dark Chocolate,Moser Roth,604.0,10.8,49.8,13.2,0.38,21.8,4088600132334,"cocoa mass, cocoa butter, sugar, fat reduced cocoa powder, lecithins ( soya ), vanilla extract",N/A
Oatibix,Weetabix,390.0,12.0,8.0,4.8,0.23,63.0,5010029207880,"Wholegrain Oats (96%), Sugar, Malted Barley Extract, Salt, Niacin, Riboflavin (B2), Thiamin (B1), Folic acid.",N/A
Petites Madeleines pépites chocolat,St Michel,452.0,5.5,22.0,30.0,0.76,56.0,3178530410143,"Farine de blé 27%, sucre, huile de colza, œufs 14%, sirop de glucose, stabilisant: glycérol, pépites de chocolat 4% (sucre, pâte de cacao, beurre de cacao, cacao maigre en poudre, émulsifiant : lécithines (soja), arome naturel de vanille), pépites de chocolat au lait 2.7% (sucre, lait entier en poudre, beurre de cacao, pâte de cacao, lactose, émulsifiant : lécithines (soja), arôme naturel de vanille), lait frais demi-écrémé pasteurisé 2.4%, fécule, poudres à lever: carbonates et citrates de sodium (blé), sel, arôme. Traces éventuelles de : fruits à coque. Tenir au sec, à l'abri de la chaleur (max 25°C) et de la lumière. 070",N/A
8 Pains au lait frais Bio 280g,"La Boulangère Bio, La boulangere",345.0,9.3,11.0,8.7,0.9,51.0,3284230011884,"Farine de BLÉ*/** 51%, ŒUFS entiers*/** 12.5%, LAIT frais écrémé pasteurisé* 8.4%, huile de tournesol*/** 8.4%, levain* (eau, farines de BLE*/** 3.3% et de SEIGLE*, levures), sucre de canne roux*, arôme naturel de vanille* (contient alcool*), GLUTEN DE BLÉ*, levure, sel, extrait de vanille*. Traces éventuelles de soja. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable français.",N/A
single origin milk chocolate,Marks & Spencer,618.0,8.4,47.4,37.2,0.25,37.9,00938150,"Cocoa Butter, Dried Whole Milk, Cane Sugar, Cocoa Mass, Milk Fat, Vanilla Extract",N/A
Petit Cookies Pépites de chocolat,Bonne Maman,510.0,7.3,26.0,35.0,0.44,60.0,3178530407396,"farines de céréales (farine de blé tendre,  farine d'avoine ), pépites de chocolat 33% (sucre,  pâte de cacao,  lactose,  émulsifiant  : lécithine (soja ),  arôme naturel de vanille,  cacao maigre en poudre), beurre,  sucre,  oeufs frais,  poudre à lever ( carbonates de sodium et diphosphates ), fibres de blé,  arôme naturel,  sel, poudre de lait écrémé.",N/A
Sweet & salty popcorn,Proper Corn,464.0,7.86,20.7,27.1,1.5,56.4,5060283760812,"Wholegrain com (63%), rapeseed oil, demerara sugar, glazing agent (isomalt), sea salt",N/A
Protein Oat Boosts Cocoa Vanilla,Graze,386.0,6.3,22.0,8.9,0.23,33.0,5055958701054,"Oats (38%), Chicory Root Fibre, Vegetable Oils (Rapeseed, Palm), Sunflower Seeds, Golden Syrup, Fat-Reduced Cocoa Powder (3.6%), Liquid Sugar, Chocolate (2.5%) (Cocoa Mass, Sugar, Cocoa Butter, Fat-Reduced Cocoa Powder, Emulsifier: Soya Lecithin), Humectant: Glycerine, Linseed, Palm Fat, Modified Starch, Soya Flour, Demerara Sugar, Starch, Natural Vanilla Flavouring, Sea Salt, Emulsifier: Soya Lecithin, Citrus Fibre, Natural Flavouring, Stabiliser: Xanthan Gum, Molasses",N/A
